"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","X"
"11","URN:CornellLabOfOrnithology:EBIRD:OBS507374511","2018-08-03 13:53:54",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago","L265942","H",41.781201,-87.5813341,"1993-10-28","10:05:00","obsr95523","S37335275","Historical","P62","EBIRD",170,NA,NA,1,1,"",0,1,0,NA,"Historical data from 1993 computer print-out, transcribed and uploaded to eBird by Clyne in 2017. Areas surveyed: JACKSON PARK, CHICAGO: Wooded Island / Bobolink Meadow area; 63rd St. Beach; north lakefront (56th to 62nd St.); COMPOSITE JACKSON PARK CHECKLIST FOR THIS DATE; ADDITIONAL DETAILS ARE INCLUDED IN SUB-SITE CHECKLISTS. Start / end times: 10:05 to 13:05. Routing: 10:05-10:35: lakefront from 57th St. Beach to 62nd St.; 10:35-10:50: 63rd St. Beach; 11:00-13:05: Soccer Field, Bobolink Meadow, Music Court, Wooded Island, North Lagoon to 56th St. & Stony Island Ave. Partly cloudy; clearing; 42 F circa 09:00, 62 F circa 13:00; strong SW winds.","1 at Wooded Island/Bobolink Meadow area",NA
"12","URN:CornellLabOfOrnithology:EBIRD:OBS331815137","2018-08-03 09:35:52",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"11","","","","Canada","CA","Alberta","CA-AB","Drumheller","CA-AB-FI","",11,"","","Wyndham-Carseland Provincial Park","L419095","H",50.8306619,-113.4269714,"1992-10-07","09:50:00","obsr570137","S24268613","Historical","P62","EBIRD",410,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,920488-3,Observers : Kassai,S., Original location description - Wyndham-Carseland PP","",NA
"13","URN:CornellLabOfOrnithology:EBIRD:OBS645721430","2018-08-06 17:51:49",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"35","","","","Canada","CA","Quebec","CA-QC","La Côte-de-Beaupré","CA-QC-CB","CA-QC_002",12,"","","Cap Tourmente","L4440092","P",47.0773411,-70.8055544,"1999-09-16","","obsr730362","S47650097","Historical","P62","EBIRD_QC",615,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 512813. Observateur : Ronald Lepage.","",NA
"14","URN:CornellLabOfOrnithology:EBIRD:OBS173830089","2019-12-17 16:35:41",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"10","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago","L265942","H",41.781201,-87.5813341,"1998-09-01","","obsr95523","S12375742","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","10",NA
"15","URN:CornellLabOfOrnithology:EBIRD:OBS645746052","2018-08-04 18:36:31",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"8","","","","Canada","CA","Quebec","CA-QC","Bellechasse","CA-QC-BL","",13,"","","Saint-Raphaël (Bellechasse)","L7787830","P",46.8,-70.75,"1995-05-08","","obsr730362","S47651157","Historical","P62","EBIRD_QC",180,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 383553. Observateur : Ronald Lepage.","",NA
"16","URN:CornellLabOfOrnithology:EBIRD:OBS409088545","2018-08-04 07:44:15",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","Canada","CA","Ontario","CA-ON","Waterloo","CA-ON-WT","",13,"","","Cambridge--Linear Trail","L1482126","H",43.3974899,-80.3664074,"1999-08-14","","obsr341870","S30028630","Historical","P62","EBIRD",NA,3.2,NA,1,1,"",0,1,0,NA,"Birding trail end to end.","",NA
"17","URN:CornellLabOfOrnithology:EBIRD:OBS40786081","2013-04-23 13:30:21",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","Unknown Sex and Age (1)","United States","US","Montana","US-MT","Missoula","US-MT-063","",10,"","","907 Kern","L351433","P",46.8619301,-114.0167618,"1994-04-05","07:00:00","obsr55201","S2904758","Stationary","P21","EBIRD",360,NA,0.1012,1,1,"",0,1,0,NA,"","",NA
"18","URN:CornellLabOfOrnithology:EBIRD:OBS723628681","2019-03-12 20:51:14",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","Canada","CA","Manitoba","CA-MB","North Interlake Area","CA-MB-ET","",6,"","","homesite eBird","L1877514","P",50.7134597,-97.0530935,"1999-03-07","09:00:00","obsr297579","S53754167","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,NA,"-10C, thin overcast, S breeze at 0830h.","",NA
"19","URN:CornellLabOfOrnithology:EBIRD:OBS149716405","2018-01-16 10:42:49",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","United States","US","Pennsylvania","US-PA","Huntingdon","US-PA-061","US-PA_1185",28,"","","Tussey Mtn. Tower (former location)","L1493779","P",40.683573,-77.9627378,"1952-09-21","08:00:00","obsr312046","S10537532","Stationary","P21","EBIRD",150,NA,NA,2,0,"",0,1,0,NA,"Records entered from Dr. Merrill Wood's original field notebooks by Nick Kerlin.--The absence of hawks was probably due to the weather conditions in northern Pennsylvania. - notes of Dr. M. Wood","",NA
"20","URN:CornellLabOfOrnithology:EBIRD:OBS33406336","2018-08-03 19:44:59",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"10","","","","United States","US","Colorado","US-CO","Larimer","US-CO-069","",18,"","","Colorado State University Environmental Learning Center","L167753","H",40.556973,-105.018654,"1995-09-16","09:15:00","obsr56053","S2439057","Traveling","P22","EBIRD",60,2.414,NA,1,1,"",0,1,0,NA,"fair, wind 0-1, 17-22C","",NA
"21","URN:CornellLabOfOrnithology:EBIRD:OBS58980996","2018-08-05 12:00:40",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"6","","","","United States","US","Wisconsin","US-WI","Dane","US-WI-025","US-WI_3635",23,"","","Mazomanie Wildlife Area C","L325049","H",43.2365961,-89.7662339,"1993-06-12","07:00:00","obsr59297","S4279014","Traveling","P22","EBIRD_WI",90,3.219,NA,1,1,"",0,1,0,NA,"60F Sky 0 Lupines and Hoary Puccoon","",NA
"22","URN:CornellLabOfOrnithology:EBIRD:OBS162968322","2018-08-04 10:11:06",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","New York","US-NY","Tompkins","US-NY-109","",13,"","","Sapsucker Woods","L97555","H",42.4787599,-76.4529133,"1979-04-22","12:00:00","obsr59612","S11530065","Traveling","P22","EBIRD",180,4.828,NA,2,1,"",0,1,0,NA,"","",NA
"23","URN:CornellLabOfOrnithology:EBIRD:OBS507928325","2018-08-03 23:37:34",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","New Jersey","US-NJ","Morris","US-NJ-027","US-NJ_3157",29,"USFWS_450","","Great Swamp NWR","L302963","H",40.7138227,-74.463013,"1995-03-16","07:30:00","obsr755308","S37372699","Traveling","P22","EBIRD",120,4.828,NA,1,1,"",0,1,0,NA,"","",NA
"24","URN:CornellLabOfOrnithology:EBIRD:OBS59289874","2018-08-03 19:40:28",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"15","","","","United States","US","Colorado","US-CO","Larimer","US-CO-069","",18,"","","Colorado State University Environmental Learning Center","L167753","H",40.556973,-105.018654,"1991-04-08","12:00:00","obsr131745","S4302993","Area","P23","EBIRD",195,NA,82.5559,1,1,"",0,1,0,NA,"","",NA
"25","URN:CornellLabOfOrnithology:EBIRD:OBS485842508","2018-08-03 13:52:03",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"4","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago","L265942","H",41.781201,-87.5813341,"1983-08-30","06:10:00","obsr95523","S35977371","Historical","P62","EBIRD",185,NA,NA,2,1,"",0,1,0,NA,"Historical data transcribed from my hand-written field notes and uploaded to eBird in 2017. Areas surveyed: JACKSON PARK, CHICAGO: Wooded Island / Bobolink Meadow area; 63rd St. Beach; COMPOSITE JACKSON PARK CHECKLIST FOR THIS DATE; ADDITIONAL DETAILS ARE INCLUDED IN SUB-SITE CHECKLISTS. Start / end times: 06:10 to 11:25. With Harriet W. Rylaarsdam. Routing: 06:10-07:00 (also with Frank Johnson): 63rd St. Beach; 09:10-11:25: Wooded Island, Music Court, Bobolink Meadow, Soccer Field. Cloudy; 05:00 readings: 77 F, winds S 9 mph.","4 at Wooded Island/Bobolink Meadow area",NA
"26","URN:CornellLabOfOrnithology:EBIRD:OBS645750429","2018-08-10 10:17:11",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"16","","","","Canada","CA","Quebec","CA-QC","La Côte-de-Beaupré","CA-QC-CB","CA-QC_002",12,"","","Cap Tourmente","L4440092","P",47.0773411,-70.8055544,"1993-05-03","","obsr730362","S47651342","Historical","P62","EBIRD_QC",325,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 189417. Observateur : Ronald Lepage.","",NA
"27","URN:CornellLabOfOrnithology:EBIRD:OBS729753350","2019-03-26 18:55:25",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","","","","Canada","CA","Yukon Territory","CA-YT","Yukon","CA-YT-YT","",4,"","","Whitehorse--Porter Creek--1402 Elm Street","L986331","H",60.7660845,-135.1382384,"1995-10-30","","obsr30649","S54258406","Historical","P62","EBIRD",NA,NA,NA,2,1,"G3983984",0,1,0,NA,"Observers: CDE, PHS","",NA
"28","URN:CornellLabOfOrnithology:EBIRD:OBS26880398","2018-08-05 11:57:55",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","","","","United States","US","Wisconsin","US-WI","Racine","US-WI-101","",23,"","","Ela Orchard","L147746","P",42.7420807,-88.2310181,"1979-09-22","","obsr23015","S2029532","Incidental","P20","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"40-70d; clear","",NA
"29","URN:CornellLabOfOrnithology:EBIRD:OBS466051743","2018-08-06 17:53:57",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"5","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago--Wooded Island/Bobolink Meadow area","L152740","H",41.7857131,-87.5829649,"1982-08-29","06:50:00","obsr95523","S34394236","Historical","P62","EBIRD",140,NA,NA,2,1,"",0,1,0,NA,"Historical data transcribed from my hand-written field notes and uploaded to eBird in 2017. With Harriet W. Rylaarsdam (also present at Wooded Island after 08:50: Lawrence G. Balch, Gerald B. Rosenband et al.). Routing: 06:50-08:00: Soccer Field, Rose Garden area of Wooded Island, Soccer Field, Bobolink Meadow, southwest corner of Wooded Island; 08:50-10:00: Music Court, Wooded Island. Clear at dawn, becoming cloudy by mid-day; 05:00 readings: 58 F, winds SW 4 mph; 14:00 readings: 71 F, winds S 8 mph.","",NA
"30","URN:CornellLabOfOrnithology:EBIRD:OBS510231324","2018-08-03 13:54:00",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"4","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago","L265942","H",41.781201,-87.5813341,"1994-01-13","14:05:00","obsr95523","S37528408","Historical","P62","EBIRD",85,NA,NA,1,1,"",0,1,0,NA,"Historical data from 1994 computer print-out, transcribed and uploaded to eBird by Clyne in 2017. Areas surveyed: JACKSON PARK, CHICAGO: Wooded Island / Bobolink Meadow area; 63rd St. Beach; Inner / Outer Harbors; north lakefront (56th to 62nd St.); COMPOSITE JACKSON PARK CHECKLIST FOR THIS DATE; ADDITIONAL DETAILS ARE INCLUDED IN SUB-SITE CHECKLISTS. Start / end times: 14:05 to 15:30. Routing: 56th St. & Stony Island Ave. to North Lagoon, Music Court, Bobolink Meadow, Soccer Field, Wooded Island, Soccer Field; north bank of Inner Harbor, north end of Outer Harbor; 63rd St. Beach; lakefront from 62nd St. to 57th St. Beach. Snow flurries; 28 F; moderate N winds; 2-3 inches snow cover; inland waters frozen; Outer Harbor mostly frozen; Lake Michigan calm with much floating ice.","3 at Wooded Island/Bobolink Meadow area; 1 at Inner Harbor",NA
"31","URN:CornellLabOfOrnithology:EBIRD:OBS525095915","2018-06-26 14:27:27",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"10","","","","Canada","CA","Quebec","CA-QC","Matawinie","CA-QC-MW","",12,"","","Saint-Michel-des-Saints","L6178295","P",46.6781753,-73.916943,"1998-01-04","","obsr391397","S38622624","Historical","P62","EBIRD_QC",180,NA,NA,2,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 571826. Observateurs : José Gagnon, Y Gag.","",NA
"32","URN:CornellLabOfOrnithology:EBIRD:OBS560647978","2017-12-27 14:39:10",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"6","","","","Canada","CA","Quebec","CA-QC","Rouyn-Noranda","CA-QC-RN","",8,"","","Mont-Brun","L6303341","P",48.36667,-78.71667,"1998-09-30","","obsr662038","S41350403","Historical","P62","EBIRD_QC",10,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 254831. Observateur : Sylvie Gagnon.","",NA
"33","URN:CornellLabOfOrnithology:EBIRD:OBS360478045","2015-12-22 10:55:02",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago--Wooded Island/Bobolink Meadow area","L152740","H",41.7857131,-87.5829649,"1981-01-22","07:45:00","obsr95523","S26407594","Historical","P62","EBIRD",90,NA,NA,1,1,"",0,1,0,NA,"Historical data transcribed from my hand-written field notes and uploaded to eBird in 2015. Areas surveyed: JACKSON PARK, CHICAGO: Wooded Island/Bobolink Meadow area. Time in field: 07:45 to 09:15. Sunny; 30ºF; winds W 10 mph. Snow cover 0-2 inches. Music Court marina 1/3 open. Routing: Wooded Island/Bobolink Meadow area.","at Wooded Island",NA
"34","URN:CornellLabOfOrnithology:EBIRD:OBS676144915","2018-11-13 21:00:32",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"36","","","","Canada","CA","Manitoba","CA-MB","Eastern Manitoba - Eastman","CA-MB-ON","",12,"","","Manitoba - Seven Sisters Falls - PR.307 and FR.28","L7982465","P",50.1079901,-95.8851755,"1979-12-29","08:30:00","obsr540170","S49903989","Traveling","P22","EBIRD",495,75,NA,3,1,"",0,1,0,NA,"With Frank and Paul Barclay - Pinawa CBC","",NA
"35","URN:CornellLabOfOrnithology:EBIRD:OBS343059019","2018-08-03 19:40:44",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Colorado","US-CO","Larimer","US-CO-069","",18,"","","Colorado State University Environmental Learning Center","L167753","H",40.556973,-105.018654,"1992-03-16","","obsr19508","S25086238","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"Muskrat.--Cottontail.--Fox Squirrel.","",NA
"36","URN:CornellLabOfOrnithology:EBIRD:OBS454696013","2017-10-19 10:29:08",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"5","","","","Canada","CA","Quebec","CA-QC","Rimouski-Neigette","CA-QC-RM","CA-QC_041",14,"","","Pointe-au-Père","L4996380","P",48.51667,-68.46667,"1985-01-23","09:15:00","obsr179756","S33466704","Traveling","P22","EBIRD_QC",135,3,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 83054. Observateur : Yves Gauthier.","",NA
"37","URN:CornellLabOfOrnithology:EBIRD:OBS466213374","2019-07-23 13:27:58",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","","","","Canada","CA","Quebec","CA-QC","Rimouski-Neigette","CA-QC-RM","CA-QC_041",14,"","","Pointe-au-Père","L4996380","P",48.51667,-68.46667,"1986-09-19","06:30:00","obsr179756","S34406470","Traveling","P22","EBIRD_QC",220,3,NA,3,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 94048. Observateurs : Yves Gauthier, R Eve, A Gui.","",NA
"38","URN:CornellLabOfOrnithology:EBIRD:OBS485841972","2018-08-03 13:52:02",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago","L265942","H",41.781201,-87.5813341,"1983-08-23","05:55:00","obsr95523","S35977355","Historical","P62","EBIRD",280,NA,NA,2,1,"",0,1,0,NA,"Historical data transcribed from my hand-written field notes and uploaded to eBird in 2017. Areas surveyed: JACKSON PARK, CHICAGO: Wooded Island / Bobolink Meadow area; Jackson Park Golf Course; 63rd St. Beach; north lakefront (56th to 62nd St.); COMPOSITE JACKSON PARK CHECKLIST FOR THIS DATE; ADDITIONAL DETAILS ARE INCLUDED IN SUB-SITE CHECKLISTS. Start / end times: 05:55 to 19:40. With Harriet W. Rylaarsdam, except at Jackson Park Golf Course. Routing: 05:55-07:55 (also, in part, with Frank Johnson): 63rd St. Beach; 08:00-08:05: 57th St. Beach; 09:35-10:05: North Lagoon, Music Court, Bobolink Meadow, Soccer Field; 10:05-11:10: Wooded Island, Music Court; 17:15-17:30: North Golf Course; 18:55-19:40: Music Court. Sunny; 05:00 readings: 71 F, winds NE 7 mph; 12:00 readings: 75 F, winds E 10 mph; 15:00 readings: 75 F, winds NE 12 mph. Sunrise 06:07. Sunset 19:39.","3 at Wooded Island/Bobolink Meadow area",NA
"39","URN:CornellLabOfOrnithology:EBIRD:OBS529276817","2017-09-08 08:57:06",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","United States","US","New Jersey","US-NJ","Bergen","US-NJ-003","",30,"","","51 Ethelbert Place","L6232897","P",40.9778063,-74.1247733,"1956-01-07","10:00:00","obsr288584","S38938011","Stationary","P21","EBIRD",20,NA,NA,1,1,"",0,1,0,NA,"My life list is based on journal ('bird diary') notes which I recorded without break for over 50 years.  Aged 14 and 1/2, I had received a window bird feeder for Christmas, and this was the first bird to be sighted at it.  This journal shows that the chickadee returned the next day at 3PM when I was out skating.  My note says, 'I just wish I'd been here'.  Such was my excitement!","",NA
"40","URN:CornellLabOfOrnithology:EBIRD:OBS750194672","2020-01-02 20:21:41",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"25","","","","Canada","CA","Quebec","CA-QC","Beauce-Sartigan","CA-QC-BS","",14,"","","ZEC Jaro","L2775591","H",45.931187,-70.4451084,"1992-01-03","","obsr498216","S55754656","Historical","P62","EBIRD_QC",270,NA,NA,3,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 187039. Observateurs : Paulin Rodrigue, Renaud Poulin, Yvon Grégoire.","",NA
"41","URN:CornellLabOfOrnithology:EBIRD:OBS142142755","2018-08-06 22:59:08",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","United States","US","Ohio","US-OH","Cuyahoga","US-OH-035","US-OH_2029",13,"","","North Chagrin Nature Center Trails","L383892","H",41.5618152,-81.4359319,"1960-05-15","07:30:00","obsr300461","S10001211","Traveling","P22","EBIRD",90,1.609,NA,17,1,"",0,1,0,NA,"Cleveland area Spring Bird Walk. Clear, 40º - 70º. Duration and distance are estimated. an exceptionally nice day for this month of May. Leaders include: Neil Henderson, Bert Raynes, Don Pinkara, Charles Margolis, Joseph Bush.","",NA
